ID,Title,Author,Series,Series Number,Goodreads,Bookwyrm,Formats
"class=""id"">0001","class=""title"">1984","class=""author"">George Orwell","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/223781648-1984"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/123932/s/1984"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0002","class=""title"">The Adventures of Tom Bombadil","class=""author"">J.R.R. Tolkien","class=""series""> Middle Earth","class=""sernum"">1.5","class=""goodreads""><a href=""https://www.goodreads.com/book/show/35736.The_Adventures_of_Tom_Bombadil"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/214513/s/the-adventures-of-tom-bombadil"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0003","class=""title"">The Ballad of Songbirds and Snakes","class=""author"">Suzanne Collins","class=""series""> The Hunger Games","class=""sernum"">0","class=""goodreads""><a href=""https://www.goodreads.com/book/show/51901147-the-ballad-of-songbirds-and-snakes"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/1972735/s/the-ballad-of-songbirds-and-snakes"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0004","class=""title"">The Bhagavad Gita","class=""author"">Eknath Easwaran","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/99944.The_Bhagavad_Gita"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/268412/s/the-bhagavad-gita"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0005","class=""title"">Bilbo's Last Song","class=""author"">J.R.R. Tolkien","class=""series""> Middle Earth","class=""sernum"">4.5","class=""goodreads""><a href=""https://www.goodreads.com/book/show/67939.Bilbo_s_Last_Song"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/417889/s/bilbos-last-song"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0006","class=""title"">The Catcher in the Rye","class=""author"">J.D. Salinger","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/496/s/the-catcher-in-the-rye"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0007","class=""title"">Catching Fire","class=""author"">Suzanne Collins","class=""series""> The Hunger Games","class=""sernum"">2","class=""goodreads""><a href=""https://www.goodreads.com/search?q=CATCHING%20FIRE"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/342486/s/catching-fire-the-hunger-games-2"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0008","class=""title"">Chapterhouse: Dune","class=""author"">Frank Herbert","class=""series""> Dune","class=""sernum"">6","class=""goodreads""><a href=""https://www.goodreads.com/book/show/44439416-chapterhouse"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/129669/s/chapterhouse-dune"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0009","class=""title"">Children of Dune","class=""author"">Frank Herbert","class=""series""> Dune","class=""sernum"">3","class=""goodreads""><a href=""https://www.goodreads.com/book/show/44492286-children-of-dune"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/129673/s/children-of-dune"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0010","class=""title"">A Christmas Carol","class=""author"">Charles Dickens","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/5326.A_Christmas_Carol"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/147197/s/a-christmas-carol"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
